question,answer
"In the context of the C64, What is the purpose of the OPEN statement in BASIC?",The OPEN statement creates a 'channel' to talk to one of the devices.
"In the context of the C64, What devices can you send output to using the OPEN statement?","You can send output to devices like a cassette deck, printer, disk drive, or modem."
"In the context of the C64, What is the purpose of the PRINT# statement?",The PRINT# statement sends characters to the device specified by the OPEN statement.
"In the context of the C64, What is an example of using the OPEN and PRINT# statements?",The example shows opening a channel to a printer and printing a message.
"In the context of the C64, What is the importance of the OPEN statement?",The OPEN statement is important because it allows you to send output to devices other than the screen.
"In the context of the C64, Can the output buffer hold more than 255 characters?","No, the output buffer can hold 255 characters before a full buffer hold-off occurs."
"In the context of the C64, What happens when the output buffer is full?",The system will wait in the CHROUT routine until transmission is allowed or the RUN/STOP and RESTORE keys are used to recover the system through a WARM START.
"In the context of the C64, What is the purpose of the CHROUT routine?",The CHROUT routine is used to send data to an RS-232 channel.
"In the context of the C64, What is the difference between the CHROUT and CHKOUT routines?","The CHROUT routine is used to send data to an RS-232 channel, while the CHKOUT routine is used to handle the x-line handshake."
"In the context of the C64, Is there a carriage-return delay built into the output channel?","No, there is no carriage-return delay built into the output channel."
"In the context of the C64, What is the purpose of the x-line handshake?",The x-line handshake is used to implement a handshake routine that uses multiple lines for receiving and transmitting data.
"In the context of the C64, What is the EIA standard for RS-232-C interfaces?",The EIA standard for RS-232-C interfaces is August 1979.
"In the context of the C64, What is the role of the RTS, CTS, and DCD lines in the x-line handshake?","The RTS, CTS, and DCD lines are implemented with the Commodore 64 defined as the Data Terminal Device."
"In the context of the C64, Can a normal RS-232 printer correctly print without hold-off or internal buffering?","No, a normal RS-232 printer cannot correctly print without hold-off or internal buffering."
"In the context of the C64, What is the purpose of the CHKOUT routine?","The CHKOUT routine is used to handle the x-line handshake, which follows the EIA standard for RS-232-C interfaces."
"In the context of the C64, What is the purpose of peripheral equipment?",To make the Commodore 64 more capable of meeting user needs
"In the context of the C64, What are some examples of peripheral equipment?","Datassette recorders, disk drives, printers, and modems"
"In the context of the C64, What makes Commodore peripherals 'intelligent'?",They don't take up valuable Random Access Memory space when in use
"In the context of the C64, What is the advantage of Commodore peripherals not using RAM space?",You're free to use all 64K of memory in your Commodore 64
"In the context of the C64, Will programs written on the Commodore 64 be compatible with future Commodore computers?","Yes, they will be upwardly compatible"
"In the context of the C64, What is the limitation of the Commodore OS?",It can't make programs compatible with computers made by other companies
"In the context of the C64, What is the purpose of the Commodore CP/M cartridge?",To allow users to run CP/M software on their Commodore 64
"In the context of the C64, What is CP/M?",A non-computer dependent operating system
"In the context of the C64, How does CP/M use memory space?",It uses some of the memory space normally available for programming to run its own operating system
"In the context of the C64, What are the disadvantages of using CP/M?",Programs will have to be shorter and screen editing capabilities can't be used
"In the context of the C64, What are the advantages of using CP/M?","You can use software designed for CP/M and Z-80 microprocessors, and programs can be transported to other CP/M computers"
"In the context of the C64, What is the Z-80 microprocessor used for?",To run CP/M and allow programs to be transported to other CP/M computers
"In the context of the C64, How does the Commodore CP/M cartridge install?",It plugs into the back of the Commodore 64 quickly and easily
"In the context of the C64, What is the advantage of the Commodore CP/M cartridge installation?",It eliminates the hassle of installing a Z-80 card internally
"In the context of the C64, Why is internal installation of a Z-80 card a hassle?",It requires care not to disturb the delicate circuitry that runs the rest of the computer
