question,answer
"In the context of the C64, Cursor jumps back to home position.",possible cause: 6510
"In the context of the C64, Abnormal colours appear in the letters.",possible cause: PLA
"In the context of the C64, Different characters are displayed and cursor is locked when turned on and off.","possible cause: 6510, 6567"
"In the context of the C64, System does not reset and the 'RESTORE' key does not work.","possible cause: 6510,PLA, ROM 227"
"In the context of the C64, Cursor disappears after the system warms up.",possible cause: 6526
"In the context of the C64, SYNTAX ERROR displayed after system warms up.",possible cause: ROM 226
"In the context of the C64, The system resets when it warms up and long programs do not load.","possible cause: 6510, ROM 226"
"In the context of the C64, Keyboard does not operate correctly when the system warms up.","possible cause: 6526,ROM 226"
"In the context of the C64, Cassette motor keeps running.",possible cause: 6510
"In the context of the C64, The cursor disappears when the cassette is plugged in.",possible cause: 6510
"In the context of the C64, Cassette runs extremely slow. The program seems to load but willnot run.",possible cause: 6510
"In the context of the C64, Blank screen on power up.","possible cause: 6510, 6567, PLA, 8701 [, RAM ]"
"In the context of the C64, No cursor displayed. Intermittent blank screen. Intermittent graphics.",possible cause: 6510
"In the context of the C64, Powers up with 'PRESS PLAY ON TAPE' message and the display blanks.",possible cause: 6510
"In the context of the C64, On power up the cursor locks up.",possible cause: 6510
"In the context of the C64, When 'RETURN' is pressed after a run command, the cursor goes back to home position.",possible cause: ROM 226
"In the context of the C64, Poke command does not work.",possible cause: ROM 226
"In the context of the C64, Joystick does not operate correctly.",possible cause: 6526
"In the context of the C64, No character lettering is displayed on the screen.","possible cause: 6526, 6567,PLA, ROM 225"
"In the context of the C64, Graphic characters instead of letters displayed.","possible cause: 6526, 6567"
"In the context of the C64, Power up message appears but no cursor.","possible cause: 6526, ROM 226"
"In the context of the C64, DEVICE NOT PRESENT ERROR is displayed when disk is used.","possible cause: 6510,6526"
"In the context of the C64, Disk drives continue to search when trying to load.",possible cause: 6526
"In the context of the C64, Incorrect screen colours or no colour at all.","possible cause: 6567, PLA"
"In the context of the C64, Keyboard does not function.",possible cause: 6526
"In the context of the C64, Cassette recorder problem.","possible cause: 6510, 6526"
"In the context of the C64, Flashing colour or blocks.",possible cause: PLA
"In the context of the C64, Game Cartridge does not function.","possible cause: PLA, ROM 227"
"In the context of the C64, Unit dead (30-40% possibility PLA).",possible cause: PLA
"In the context of the C64, User port does not function (eg. modem).",possible cause: 6526
"In the context of the C64, No sound.","possible cause: 6581 [, Bad RF Modulator ]"
"In the context of the C64, Missing notes.",possible cause: 6581
"In the context of the C64, Game paddles do not function.","possible cause: 6526, 6581"
